ID,author,title,issued,containerTitle,volume,issue,page,link,citation
86,,,,,,,,,"Proc. U.S. natn. Mus. 30: 723, fig. 1."
87,,,,,,,,,Comb. nov. ? [not Lee & Brown]
88,,,,,,,,,"J. Dep. Agric. P. Rico 15: 364, pl. 42, fig. 11."
89,,,,,,,,,Can. Ent. 4: 195.
90,,,,,,,,,"Nasekom. Mongol. 10: 562, figs 50-54."
91,,,,,,,,,"Ent. Res. 1: 83, figs 1-5."
92,,,,,,,,,Proc. U.S. natn. Mus. 33: 197.
93,,,,,,,,,"Verh. zool.-bot. Ges. Wien 23(Abh.): 268, pl. 3, fig. 21."
94,,,,,,,,,Can. Ent. 7: 106.
95,,,,,,,,,"Izv. tsarsk. prirodonauch. Inst. Sofia 14: 6, fig. 7."
96,,,,,,,,,"Beitr. naturk. Forsch. SüdwDtl. 20: 102, text-fig. 3."
97,,,,,,,,,"Entomotaxonomia 15: 209 [key], 215, 218, figs 8A-E."
98,,,,,,,,,"Entomotaxonomia 15: 209 [key], 211, 217, figs 4A-D."
99,,,,,,,,,Trans. ent. Soc. Lond. 1917: 40.
100,,,,,,,,,Comb. nov. [not in Lee & Brown]
101,,,,,,,,,Trans. ent. Soc. Lond. 1917: 30.
102,,,,,,,,,Comb. nov.
103,,,,,,,,,Proc. zool. Soc. Lond. 1897: 76.
104,,,,,,,,,Can. Ent. 5: 186.
105,,,,,,,,,Trudy russk. ent. Obshch. 22: 313.
106,,,,,,,,,Dt. ent. Z. Iris 34: 101.
107,,,,,,,,,Comb. nov.
108,,,,,,,,,J. Linn. Soc. (Zool.) 37: 280.
109,,,,,,,,,"Eur. J. Ent. 107: 249 [key], 264, figs 21, 45, 68, 86."
111,,,,,,,,,Exot. Microlepid. 5: 43.
112,,,,,,,,,"Eur. J. Ent. 107: 249 [key], 257, figs 11, 33, 57, 73, 74."
113,,,,,,,,,"Entomotaxonomia 15: 209 [key], 214, 218, figs 7A-D."
114,,,,,,,,,"Entomotaxonomia 15: 209 [key], 210, 217, figs 3A-E."
115,,,,,,,,,Acta ent. bohemoslovaca 62: 487.
116,,,,,,,,,Acta ent. bohemoslovaca 62: 488.
117,,,,,,,,,Proc. Acad. nat. Sci. Philad. 73: 9.
118,,,,,,,,,Dt. ent. Z. Iris 34: 111.
119,,,,,,,,,"Acta ent. bohemoslovaca 62: 487, fig. 10."
120,,,,,,,,,"Dt. ent. Z. (N.F.)15: 120, pl. 3, figs 11, a, 11, b, pl. 4, fig. 11."
121,,,,,,,,,"Revta Lepid. 29: 162, figs 2a, 2b."
122,,,,,,,,,"Revta Lepid. 18: 150, figs 3, 6 [except signum!], 11 [signum only!]."
123,,,,,,,,,"in Landry & al. Zootaxa 4300(4): 462 [key], 469, figs 8, 33."
124,,,,,,,,,Stettin. ent. Ztg 33: 111.
125,,,,,,,,,Mitt. schweiz. ent. Ges. 13: 241 [as müstairella].
126,,,,,,,,,Lepid. Cat. 79: 191.
127,,,,,,,,,"Beitr. Ent. 50: 392, figs 6a, 6b."
128,,,,,,,,,Moths S. Afr. 6: 197.
129,,,,,,,,,"Moths S. Afr. 6: 198, pl. 81, fig. e, pl. 94, fig. g, pl. 102, pl. 128, fig. a."
130,,,,,,,,,Moths S. Afr. 6: 96.
131,,,,,,,,,"Ann. Transv. Mus. 2: 11, pl. 4, figs 5, 6."
132,,,,,,,,,Esperiana (Mem.)4: 98.
133,,,,,,,,,Trans. ent. Soc. Lond. 1914: 250.
134,,,,,,,,,Trans. ent. Soc. Lond. 1914: 250.
135,,,,,,,,,Trans. ent. Soc. Lond. 1922: 75.
136,,,,,,,,,"Dt. ent. Z. (N.F.)7: 16, & 17 [keys], 58."
137,,,,,,,,,"in Huemer, Karsholt & Lyneborg, Microlepid. Eur. 3: 101, figs 57."
138,,,,,,,,,Bull. Soc. imp. Nat. Moscou 57(1): 25.
139,,,,,,,,,Horae Soc. ent. ross. 15: 313.
140,,,,,,,,,Bull. Soc. ent. Fr. 1895: 106.
141,,,,,,,,,Dt. ent. Z. Iris 34: 110.
142,,,,,,,,,Exot. Microlepid. 3: 19.
143,,,,,,,,,Exot. Microlepid. 3: 344.
144,,,,,,,,,"Ent. Obozr. 34: 114, figs 5, 6."
145,,,,,,,,,"In Wocke & Staudinger, Stettin. ent. Ztg 23: 236."
146,,,,,,,,,Tromsø Mus. Aarsh. 15: 148.
147,,,,,,,,,"Notul. ent. 12: 80, pl. 1, figs 8, 9."
148,,,,,,,,,"Samml. eur. Schmett. 8: 61, pl. 22, fig. 152."
149,,,,,,,,,Verh. zool.-bot. Ges. Wien 74/75: (108).
150,,,,,,,,,"Trudy vses. ent. Obshch. 56: 192, fig. 7."
151,,,,,,,,,Bull. Soc. ent. Fr. 1885: ccix.
152,,,,,,,,,???
153,,,,,,,,,Bull. Soc. ent. Fr. 1885: ccix.
154,,,,,,,,,"Ent. Obozr. 34: 108, figs 1, 2. ."
155,,,,,,,,,Nasekomiye zashchishchayutsia : ???
156,,,,,,,,,Moths S. Afr. 6: 199.
157,,,,,,,,,Comb. nov.
158,,,,,,,,,Ann. Transv. Mus. 6: 21.
159,,,,,,,,,"Moths S. Afr. 6: 200, pl. 80, fig. f, pl. 81, fig. a, pl. 93, figs c, d, pl. 102, pl. 128, fig. b."
160,,,,,,,,,Br. Ent. 4: folio 189.
161,,,,,,,,,Encycl. Hist. nat. (Papillons nocturnes): 269.
162,,,,,,,,,Schmett. Dtl. Schweiz (2)2(1): 321.
163,,,,,,,,,"In Newton, Zool. Rec. (for 1870) 7: 422, 523."
164,,,,,,,,,Bull. U.S. geol. geogr. Surv. Territ. 4: 163.
165,,,,,,,,,Cat. raisonné Lépid. Berry & Auvergne: 176.
166,,,,,,,,,Mitt. münch. ent. Ver. 4: 25.
167,,,,,,,,,Trans. ent. Soc. Lond. 1914: 251. ?Gen. rev.
168,,,,,,,,,Atti Soc. ital. Sci. nat. 53: 593.
169,,,,,,,,,Proc. ent. Soc. Wash. 21: 95.
170,,,,,,,,,Trans. a. Rep. Staffs. Fld Club 60: 113.
171,,,,,,,,,Tijdschr. Ent. 77: xxiii.
172,,,,,,,,,Revue fr. Lépid. 11: 156.
173,,,,,,,,,"Revue fr. Lépid. 11: 156, 157."
174,,,,,,,,,Mitt. münch. ent. Ges. 57: 117.
175,,,,,,,,,Exot. Microlepid. 3: 507.
176,,,,,,,,,Proc. Acad. nat. Sci. Philad. 1860: 162.
177,,,,,,,,,Verh. zool.-bot. Ges. Wien 18(Abh.): 614.
178,,,,,,,,,Bull. U.S. geol. geogr. Surv. Territ. 4: 141.
179,,,,,,,,,"In Smith, List Lepid. boreal Am.: 100."
180,,,,,,,,,Exot. Microlepid. 3: 353.
181,,,,,,,,,Proc. U.S. natn. Mus. 23: 231.
182,,,,,,,,,"Samml. eur. Schmett. 8: 42 [as thapsiella], pl. 22, fig. 148."
183,,,,,,,,,Samml. eur. Schmett. 8: 42.
184,,,,,,,,,"Zinsler, Wickler, Schaben u. Geistchen syst. Verz. Schmett. Wien. Gegend: 178."
185,,,,,,,,,Lepid. Br. (4): 553.
186,,,,,,,,,Mém. Soc. Emul. Doubs (1)3(3): 41.
187,,,,,,,,,"Tijdschr. Ent. 84: 352, text-figs 1, 3, pl. 1, figs 1-4."
188,,,,,,,,,Trans. ent. Soc. Lond. 1922: 80.
189,,,,,,,,,"Biologia cent.-am. (Zool.) Lepid.-Heterocera 4: 77, pl. 2, fig. 34."
190,,,,,,,,,Comb. nov.
191,,,,,,,,,Exot. Microlepid. 4: 197.
192,,,,,,,,,Trans. ent. Soc. Lond. 1914: 258.
193,,,,,,,,,Exot. Microlepid. 3: 506.
194,,,,,,,,,List Specimens lepid. Insects Colln Br. Mus. 29: 593.
195,,,,,,,,,Cincinn. Q. Jl Sci. 2: 253.
196,,,,,,,,,Biologia cent.-am. (Zool.) Lepid.-Heterocera 4: 35.
197,,,,,,,,,Trans. ent. Soc. Lond. 1922: 78.
198,,,,,,,,,Verh. zool.-bot. Ges. Wien 23(Abh.): 251.
199,,,,,,,,,Can. Ent. 6: 237.
200,,,,,,,,,Bull. U.S. geol. geogr. Surv. Territ. 4: 91.
201,,,,,,,,,Proc. zool. Soc. Lond. 1897: 79.
202,,,,,,,,,Genera Insect. 184: 125.
203,,,,,,,,,Ann. Transv. Mus. 8: 77.
204,,,,,,,,,"Jl N.Y. ent. Soc. 11: 162, pl. 9, fig. 13."
205,,,,,,,,,An. Mus. nac. Hist. nat. B. Aires 36: 384.
206,,,,,,,,,Trans. ent. Soc. Lond. 1922: 76.
207,,,,,,,,,Trans. ent. Soc. Lond. 1922: 80.
208,,,,,,,,,Proc. U.S. natn. Mus. 27: 760.
209,,,,,,,,,Verh. zool.-bot. Ges. Wien 23(Abh.): 276.
210,,,,,,,,,Can. Ent. 6: 240.
211,,,,,,,,,Can. Ent. 6: 240.
212,,,,,,,,,Can. Ent. 6: 241.
213,,,,,,,,,"Proc. zool. Soc. Lond. 1881: 319, pl. 36, fig. 9."
214,,,,,,,,,Trans. Am. ent. Soc. 10: 184.
215,,,,,,,,,Fauna lepid. volgo-uralensis: 581.
216,,,,,,,,,"Annls Soc. ent. Fr. (6)4: 256, pl. 10, fig. 17."
217,,,,,,,,,"Boletín Univ. Republ. (Facultad Agronomia) 115: 3, figs 1-6."
218,,,,,,,,,Trans. ent. Soc. Lond. 1922: 80.
219,,,,,,,,,Verh. zool.-bot. Ges. Wien 23(Abh.): 249.
220,,,,,,,,,Misc. Publs U.S. Dep. Agric. 767: 38.
221,,,,,,,,,Trans. ent. Soc. Lond. 1914: 253.
222,,,,,,,,,Proc. zool. Soc. Lond. 1897: 81.
223,,,,,,,,,"Mitt. zool. Mus. Berl. 20: 299, pl. 10, fig. 70, pl. 16, fig. 46."
224,,,,,,,,,Zoogeographica 2: 125.
225,,,,,,,,,"(May 9), Proc. U.S. natn. Mus. 25: 841 [key], 842."
226,,,,,,,,,"(January 13)], in Dyar, Bull. U.S. natn. Mus. 52: 509."
227,,,,,,,,,Cincinn. Q. Jl Sci. 2: 244. [as lacteus-ochrella].
228,,,,,,,,,Genera Insect. 184: 123.
229,,,,,,,,,"Proc. U.S. natn. Mus. 23: 230, pl. 1, fig. 6."
230,,,,,,,,,Exot. Microlepid. 2: 142.
231,,,,,,,,,Proc. zool. Soc. Lond. 1897: 81.
232,,,,,,,,,Proc. ent. Soc. Philad. 2: 4.
233,,,,,,,,,Exot. Microlepid. 3: 292.
234,,,,,,,,,Exot. Microlepid. 4: 197.
235,,,,,,,,,Trans. ent. Soc. Lond. 1922: 77.
236,,,,,,,,,Dt. ent. Z. Iris 34: 105.
237,,,,,,,,,Can. Ent. 33: 14.
238,,,,,,,,,Bull. Soc. Sci. nat. phys. Maroc 35: 256.
239,,,,,,,,,"Bull. Soc. ent. Egypte (52. Année) 43: 65, pl. 6, fig. 6, pl. 9, fig. 7."
240,,,,,,,,,"J. Dep. Agric. P. Rico 15: 375 [key], 376, pl. 42, fig. 17."
241,,,,,,,,,"Tinea, Tokyo 12(16): 375 [key], 376, pl. 42, fig. 17."
242,,,,,,,,,Exot. Microlepid. 2: 134.
243,,,,,,,,,Can. Ent. 7: 210.
244,,,,,,,,,Trans. ent. Soc. Lond. 1914: 252.
245,,,,,,,,,Can. Ent. 38: 121.
