ID,basionymID,scientificName,authorship,rank,uninomial,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,referenceID,publishedInPage,publishedInYear,code,status,remarks,link
3672,3672,Gomphocrates,"Meyrick, 1925",genus,Gomphocrates,,,,,2866,,,ICZN,,,
3673,3673,Hyperecta,"Meyrick, 1925",genus,Hyperecta,,,,,2867,,,ICZN,,,
3674,3674,Catoptristis,"Meyrick, 1925",genus,Catoptristis,,,,,2868,,,ICZN,,,
3675,3675,Cerycangela,"Meyrick, 1925",genus,Cerycangela,,,,,2869,,,ICZN,,,
3676,3676,Catelaphris,"Meyrick, 1925",genus,Catelaphris,,,,,2870,,,ICZN,,,
3677,3677,Cymatoplex,"Meyrick, 1925",genus,Cymatoplex,,,,,2871,,,ICZN,,,
3678,3678,Epicharta,"Meyrick, 1926",genus,Epicharta,,,,,2872,,,ICZN,,,
3679,3679,Orsodytis,"Meyrick, 1926",genus,Orsodytis,,,,,2873,,,ICZN,,,
3680,3680,Prasodryas,"Meyrick, 1926",genus,Prasodryas,,,,,2874,,,ICZN,,,
3681,3681,Xenorrhythma,"Meyrick, 1926",genus,Xenorrhythma,,,,,2875,,,ICZN,,,
3682,3682,Thyrsomnestis,"Meyrick, 1929",genus,Thyrsomnestis,,,,,2876,,,ICZN,,,
3683,3683,Acanthophyla,"Müller-Rutz, 1932",genus,Acanthophyla,,,,,2877,,,ICZN,,,
3684,3684,Desmophylax,"Meyrick, 1935",genus,Desmophylax,,,,,2878,,,ICZN,,,
3685,3685,Ereboscaeas,"Meyrick, 1937",genus,Ereboscaeas,,,,,2879,,,ICZN,,,
3686,3686,Drepanotherma,"Gaede, 1937",genus,Drepanotherma,,,,,2880,,,ICZN,,,
3687,3687,Anorthodisca,"Gaede, 1937",genus,Anorthodisca,,,,,2881,,,ICZN,,,
3688,3688,Chthonogenes,"Meyrick, 1938",genus,Chthonogenes,,,,,2882,,,ICZN,,,
3689,3689,Cymatoplicella,"Fletcher, 1940",genus,Cymatoplicella,,,,,2883,,,ICZN,,,
3690,3690,Eupolella,"Fletcher, 1940",genus,Eupolella,,,,,2884,,,ICZN,,,
3691,3691,Tochares,"Neave, 1940",genus,Tochares,,,,,2885,,,ICZN,,,
3692,3692,Acantophila,"Osthelder, 1951",genus,Acantophila,,,,,2886,,,ICZN,,,
3693,3693,Neopachnistis,"Janse, 1954",genus,Neopachnistis,,,,,2887,,,ICZN,,,
3694,3694,Iocharis,"Janse, 1958",genus,Iocharis,,,,,2888,,,ICZN,,,
3695,3695,Leuropalpa,"Janse, 1960",genus,Leuropalpa,,,,,2889,,,ICZN,,,
3696,3696,Picroptera,"Janse, 1960",genus,Picroptera,,,,,2890,,,ICZN,,,
3697,3697,Parabrachmia,"Janse, 1960",genus,Parabrachmia,,,,,2891,,,ICZN,,,
3698,3698,Deltolophos,"Janse, 1960",genus,Deltolophos,,,,,2892,,,ICZN,,,
3699,3699,Zalithea,"Janse, 1963",genus,Zalithea,,,,,2893,,,ICZN,,,
3700,3700,Mimomeris,"Povolný, 1978",genus,Mimomeris,,,,,2894,,,ICZN,,,
3701,3701,Croesophora,"Park & Hodges, 1995",genus,Croesophora,,,,,2895,,,ICZN,,,
3702,3702,Virgula,"M.M. Omelko, 1999",genus,Virgula,,,,,2896,,,ICZN,,,
3703,3703,Resupina,"M.M. Omelko, 1999",genus,Resupina,,,,,2897,,,ICZN,,,
3704,3705,Dichomeris abscessella,"(Walker, 1863)",species,,Dichomeris,,abscessella,,,,,ICZN,,,
3705,3705,Psecadia abscessella,"Walker, 1863",species,,Psecadia,,abscessella,,2898,,,ICZN,,,
3706,3706,Vazugada strigiplenella,"Walker, 1864",species,,Vazugada,,strigiplenella,,2899,,,ICZN,,,
3707,3707,Dichomeris zonostoma,"Meyrick, 1914",species,,Dichomeris,,zonostoma,,2900,,,ICZN,,,
3708,3709,Dichomeris achlyodes,"(Meyrick, 1904)",species,,Dichomeris,,achlyodes,,,,,ICZN,,Syn. not Meyrick 1925; Edwards 1996 not as Syn. nov.,
3709,3709,Ypsolophus achlyodes,"Meyrick, 1904",species,,Ypsolophus,,achlyodes,,2901,,,ICZN,,,
3710,3710,Euryzancla polyommata,"Turner, 1919",species,,Euryzancla,,polyommata,,2902,,,ICZN,,,
3711,3711,Dichomeris achne,"Hodges, 1986",species,,Dichomeris,,achne,,2903,,,ICZN,,,
3712,3713,Dichomeris acmodeta,"(Meyrick, 1931)",species,,Dichomeris,,acmodeta,,,,,ICZN,,,
3713,3713,Hyperecta acmodeta,"Meyrick, 1931",species,,Hyperecta,,acmodeta,,2904,,,ICZN,,,
3714,3715,Dichomeris acratopa,"(Meyrick, 1926)",species,,Dichomeris,,acratopa,,2905,,,ICZN,,,
3715,3715,Prasodryas acratopa,"Meyrick, 1926",species,,Prasodryas,,acratopa,,2906,,,ICZN,,,
3716,3716,Dichomeris acritopa,"Meyrick, 1935",species,,Dichomeris,,acritopa,,2907,,,ICZN,,,
3717,3718,Dichomeris acrochlora,"(Meyrick, 1905)",species,,Dichomeris,,acrochlora,,,,,ICZN,,,
3718,3718,Hypelictis acrochlora,"Meyrick, 1905",species,,Hypelictis,,acrochlora,,2908,,,ICZN,,,
3719,3719,Dichomeris acrogypsa,"Turner, 1919",species,,Dichomeris,,acrogypsa,,2909,,,ICZN,,,
3720,3720,Dichomeris acrolychna,"Meyrick, 1922",species,,Dichomeris,,acrolychna,,2910,,,ICZN,,,
