ID,parentID,nameID,scrutinizer,scrutinizerDate,provisional,referenceID,extinct,temporalRangeEnd,lifezone,kingdom,phylum,class,order,superfamily,family,subfamily,tribe,genus,uninomial,species,remarks
6454,6419,6454,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima austerodes,
6456,6419,6456,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima baliodes,
6458,6419,6458,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima binummulata,
6460,6419,6460,,,false,4960,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima blumenzweigella,
6462,6419,6462,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima brachyrrhiza,
6464,6419,6464,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima caryodora,
6466,6419,6466,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima cirrhospila,
6468,6419,6468,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima corynetis,
6470,6419,6470,,,false,4966,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima cryptopluta,"Typical Hypatima, in size between artochroma and subdentata, labial palpus with 'double brush'."
6471,6419,6471,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima demonstrata,
