ID,nameID,remarks
107,107,"Holotype ♂, CHINA: Shaanxi, Chengcheng, 29.vii.1986 (Li) (slide no. L92014). (NKU, Tianjin)."
109,109,"Holotype ♂, CHINA: Shaanxi, Chengcheng, 30.vii.1986 (Li) (slide no. L92033). (NKU, Tianjin)."
113,113,"Holotype, unspecified sex, WEST INDIES: Puerto Rico, Isabela, 24.iv.1930 (Forbes). (CUIC, Ithaca, no. 1047)."
116,116,"Holotype ♂, MONGOLIA: Bajanchongor aimak, 140 km S of Shine-Dzhinst, oasis Ekhin-Gol, 10.vii.1981 (Lvovsky). (ZIAN, St Petersburg)."
117,117,"Holotype ♂, CHINA: Ningxia, Zhongning, 1170 m, 16-17.vii.1933 (Li) (slide no. L93071). (NKU, Tianjin)."
119,119,"Holotype ♀, USA: California, Sacramento County, Folsom, 1.vii.1885 (Koebele) (slide no. 10681). (USNM, no. 10677)."
121,121,"Holotype ♂, USA: Texas (Boll). (MCZ, Cambridge, Mass., no. 2973)."
122,122,"Holotype, unspecified sex, USA: Texas, Bosque County (Belfrage) (slide no. 3057, Hodges). (USNM, not traced)."
124,124,"Lectotype ♂, MACEDONIA: Ohrid ('Ochrid'), 12-24.vi.1939 (Lunak), designated by Huemer & Karsholt 1999: 52. (NHM, Vienna)."
125,125,"Holotype ♂, TURKEY ('SYRIA SEPT.'): Cappadocia, Kahramanmara? ('Taurus, Marasch'), 700-900 m, vi.1929 (Osthelder) (slide no. 468c, Sattler). (ZSM, Munich)."
127,127,"Holotype ♂, CHINA: Xinjiang, Turfan, 120 m, 27.viii.1987 (Li). (NKU, Tianjin)."
129,129,"Holotype ♂, CHINA: Shaanxi, Yangling, 450 m, 13.vi.1985 (Li) (slide no. 89316). (NKU, Tianjin)."
131,131,"Lectotype ♂, ECUADOR: Duran, low country [not: 'taro' country (Clarke 1969b: 476)], vi.1914 (Parish) (slide no. 6244, Clarke), designated by Clarke 1969b: 476, pl. 238, figs 1-1d. (BMNH)."
133,133,"Lectotype ♂, GUYANA ('BRITISH GUIANA'): Bartica, i.1913 (Parish) (slide no. 5691, Clarke), designated by Clarke 1969b: 88, pl. 44, figs 3-3b. (BMNH)."
135,135,"Holotype ♀, WEST INDIES: Lesser Antilles, Windward Islands, Grenada, windward side, Balthazar, 250 ft, 15.iv. (Smith) (slide no. 9367). (BMNH)."
137,137,"Syntype ♂, USA: Kentucky (Chambers). (MCZ, Cambridge, Mass., no. 1537)."
139,139,"Lectotype ♂, RUSSIAN FEDERATION: S Russia, Volgograd, Krasnoarmeysk ('Sarepta'), 5.vii.1867 (Christoph) (slide no. 28793), designated by Bidzilya & Li 2010a: 263. (BMNH)."
140,140,"Lectotype ♂, KAZAKHSTAN: Ural'sk ('Uralsk'), 4.vi.1907 ([Bartel]) (slide no. Car. 3000, Povolný), designated by Popescu-Gorj 1992: 142. (MINGA, Bucharest)."
142,142,"Holotype ♂, PARAGUAY: Makthlawaiya, v.1927 (Carter) (slide no. 5811, Clarke). (BMNH)."
146,146,"Lectotype ♂, JAPAN: Hokkaido, Tokyo, viii.1935 (Issiki) (slide no. 8246, Clarke), designated by Clarke 1969b: 88, pl. 44, figs 4-4b. (BMNH)."
149,149,"Holotype ♂, CHINA: Gansu, Yongdeng, 6.vii.1985 (Li) (slide no. 89361). (NKU, Tianjin)."
151,151,"Holotype ♂, CHINA: Shaanxi, Zhouzhi, 1000 m, 13.vii.1987 (Li) (slide no. L92051). (NKU, Tianjin)."
153,153,"Type species: Agonochaetia incredibilis Povolný, 1965, Acta ent. bohemoslovaca 62: 487, fig. 10, by original designation. GELECHIINAE,"
154,154,"Type species: Gelechia terrestrella Zeller, 1872, Stettin. ent. Ztg 33: 111, by original designation."
156,156,"Holotype ♂, USA: Montana, Glacier National Park, McDermott Lake, 24.vii.1920 (Braun). (ANS, Philadelphia)."
158,158,"Holotype ♀, RUSSIAN FEDERATION: E Siberia, Khabarovskiy Kray, Kazakevicha ('Kasakewitsch') (Caradja). (MINGA, Bucharest)."
165,165,"Lectotype ♂, SWITZERLAND: Graubünden, Bergün Bravuogn ('Bergün'), 2.vii.1871 (Zeller), designated by Sattler 1961e: 301. (BMNH)."
166,166,"Syntypes, unspecified sex, SWITZERLAND: Graubünden, Val Müstair, Sta Maria, 29.vi.1919 (Thomann). (BNM, Chur)."
169,169,"Type species: Allophlebia hemizancla Janse, 1960, Moths S. Afr. 6: 198, pl. 81, fig. e, pl. 94, fig. g, pl. 102, pl. 102, pl. 128, fig. a, by original designation."
171,171,"Type species: Telphusa ia Meyrick, 1909, Ann. Transv. Mus. 2: 11, pl. 4, figs 5, 6, by original designation. GELECHIINAE,"
173,173,"Holotype ♂, SOUTH AFRICA: Gauteng ('Transvaal'), Pretoria, 24.ix.1908 (Janse) (slide no. 8675). (TM, Pretoria)."
175,175,"Type species: Alsodryas lactaria Meyrick, 1914, Trans. ent. Soc. Lond. 1914: 250, by monotypy."
178,178,"Type species: Gelechia perspersella Wocke, 1862, in Wocke & Staudinger, Stettin. ent. Ztg 23: 236, by original designation. GELECHIINAE,"
181,181,"Lectotype ?, RUSSIAN FEDERATION: Yevreyskaya Autonomous Oblast, Radde ('Raddefka'), 28.v.1876 (Christoph), to be designated. (BMNH)."
183,183,"Holotype ♀ [abdomen missing], TURKEY: Mersin, Mersin (Lederer). (ZMHU, Berlin)."
184,184,"Holotype ♀, TURKEY ('HAUTE-SYRIE'): Gaziantep ('Akbès') (Delagrange). (MNHN, Paris ?)."
185,185,"Holotype ♂ [abdomen missing], TURKEY: Cappadocia, Kahramanmara? ('Marasch'), (unspecified). (MINGA, Bucharest)."
187,187,"Holotype ♂, LEBANON ('SYRIEN'): Beyrouth (unspecified). (MINGA, Bucharest)."
189,189,"Lectotype ♂, TURKMENISTAN: Kushka, 1951 (Penyazev), designated by Sattler 1982: 16. (ZIAN, St Petersburg)."
191,191,"Syntypes, 10 ♂, ♀, NORWAY: Finmarken, Bossekop, late vi-early vii.1960. (Staudinger & Wocke). (ZMHU, Berlin)."
193,193,"Holotype ♂, FINLAND: Savonia australis, Luumäki, 23.vi-6.vii.1928 (Karvonen). (ZMUH, Helsinki)."
195,195,"Syntypes, unspecified sex, EUROPE: unspecified (Mazzola). (Not traced)."
197,197,"Lectotype ♂, CROATIA: Dalmatia, Gruz ('Gravosa'), 24.iv.1924 (Wagner), designated by Sattler 1982: 16. (NHM, Vienna)."
198,198,"Holotype ♀, TAJIKISTAN: Kondara gorge, S slope of Gissar ridge, 24.iv.1966 (Danilevsky). (ZIAN, St Petersburg)."
199,199,"Type species: Amblypalpis olivierella Ragonot, 1886, Bull. Soc. ent. Fr. 1885: ccix, by monotypy."
204,204,"Type species: Amblyphylla lophozancla Janse, 1960, Moths S. Afr. 6: 200, pl. 80, fig. f, pl. 81, fig. a, pl. 93, figs c, d, pl. 102, pl. 128, fig. b, by original designation. CHEL."
206,206,"Lectotype ♂, SOUTH AFRICA: KwaZulu-Natal ('Natal'), Umkomaas, 10.i.1914 (Janse), designated by Janse 1949: pl. 14, fig. 2 (‘type'). (TM, Pretoria)"
207,207,"Holotype ♂, SOUTH AFRICA: Gauteng ('Transvaal'), Pretoria District, Tswaing Crater (‘Zoutpan'), 4-10.ii.1929 (Van Son) (slide no. 8453, Janse). (TM, Pretoria)."
208,208,"Type species: Phalaena populella Clerck, 1759, Icon. Insect. rariorum 1: pl. 11, fig. 5, by original designation."
210,210,"Type species: Phalaena populella Clerck, 1759, Icon. Insect. rariorum 1: pl. 11, fig. 5, by subsequent designation by Meyrick, 1925, Genera Insect. 184: 125."
215,215,"Type species: Agriastis peloptila Meyrick, 1914, Trans. ent. Soc. Lond. 1914: 251, by original designation."
225,225,"Syntypes, unspecified sex, USA: [Pennsylvania, Easton], ex Agrimonia eupatoria, vi., em. late vi-vii. (Clemens). (ANS, Philadelphia)."
226,226,"Lectotype ♀, NORTH AMERICA: unspecified (Osten-Sacken) (slide no. 7372), to be designated. (BMNH)."
230,230,"Holotype ♀, CHINA: Shanghai, ix. (Caradja). (Not traced)."
233,233,"Syntypes, unspecified sex, GERMANY: Bayern, Augsburg (Hübner). (Not traced)."
237,237,"Syntypes, unspecified sex, FRANCE: Dept. Doubs, Maison-Rouge, vii. (Bruand). (Not traced ?)."
238,238,"Holotype ♂, NETHERLANDS: Arnhem, em. 11.vii.1873 (Van Medenbach) (slide no. V. 106, Vári). (ZM, Amsterdam)."
241,241,"Holotype ♂ [not ♀] [abdomen missing], MEXICO: Tabasco, Teapa, iii.18?? (Smith). (BMNH)."
243,243,"Lectotype ♂, CHINA: S. Manchuria, 19.vi.1930 (unspecified) (slide no. 9094, Clarke), designated by Clarke 1969a: 478, pl. 238, figs 3-3b (‘type'). (BMNH)."
246,246,"Lectotype ♂, USA: Arizona, Palmerlee, 1911 (R.) (slide no. 5963, Clarke), designated by Clarke 1969a: 481, pl. 239, figs 1-1b. (BMNH)."
248,248,"Lectotype ♂ [abdomen missing], NORTH AMERICA: unspecified (Carter), to be designated. (BMNH)."
249,249,"Syntypes, unspecified sex, USA: Texas, Waco (Belfrage). (Not traced ?)."
253,253,"Lectotype ♂ [abdomen missing], USA: Missouri (Riley), to be designated. (BMNH)."
254,254,"Lectotype ♂, USA: Texas (Chambers), designated by Miller & Hodges 1990: 65. (MCZ, Cambridge, Mass., no. 1436)."
255,255,"Holotype ♀, USA: Texas, Bosque County (unspecified). (MCZ, Cambridge, Mass., no. 1455)."
261,261,"Holotype ♂, ARGENTINA: Rio Negro, Bariloche, 28.xi-1.xii.1926 (unspecified) (slide no. 6177, Clarke). (BMNH)."
266,266,"Lectotype ?, USA: Texas, 21.viii.1871 (Belfrage) (slide no. 7373), to be designated. (BMNH)."
267,267,"Syntypes, 3, unspecified sex, USA: Texas, Waco, ix. (Belfrage). (MCZ, Cambridge, Mass., no. 1444)."
268,268,"Syntypes, unspecified sex, USA: Texas, Waco, x. (Belfrage). (Not traced)."
269,269,"Syntypes, unspecified sex, USA: Texas, Waco (Belfrage). (Not traced)."
270,270,"Holotype ♀, USA: Texas, Bosque County, 16.viii.1876 (Belfrage) (slide no. 7374). (BMNH)."
273,273,"Lectotype ♂ [abdomen missing], RUSSIA: Orenburg District, Spassk, vii. (Eversmann), designated by Sinev & al. 2017: 375, pl. 1, fig. 9. (ZIAN, St Petersburg)"
275,275,"Lectotype ♂, FRANCE: Alpes-Maritimes, Golfe Juan, vii. (Constant), designated by Viette 1951a: 341 (‘type'). (MNHN, Paris)."
279,279,"Lectotype ♀, USA: Texas (Boll) (slide no. 7369), to be designated. (BMNH)."
282,282,"Lectotype ♂, GUYANA ('BRITISH GUIANA'): Bartica, ii.1913 (Parish) (slide no.5971, Clarke), designated by Clarke 1969a: 234, pl. 116, figs 1-1b. (BMNH)."
285,285,"Syntypes, unspecified sex, ISRAEL/PALESTINE: Mt Carmel ('Karmel'), 7.v.1930 (Amsel); Ein Karem (‘Ain Karim') (7 mls W of Jerusalem), 18.v.1930 (Amsel), ex Crataegus. (LN, Karlsruhe)."
288,288,"Holotype ♂, USA: New Jersey, Essex County Park, 25.vii. (Kearfott) (slide no. 10677). (USNM, no. 6370)."
291,291,"Syntypes, unspecified sex (?), USA: California (Behrens). (?)."
297,297,"Holotype, unspecified sex, USA: [Pennsylvania, Easton], 1.vi. (Clemens). (ANS, Philadelphia)."
299,299,"Lectotype ♂ [not ♀], RUSSIAN FEDERATION: E Siberia, Khabarovskiy Kray, Khabarovsk ('Khaborowsk'), 1907 (Korb) (slide no. 9093, Clarke), designated by Clarke 1969a: 489, pl. 243, figs 2-2b ('type'). (BMNH)."
300,300,"Holotype ♀, JAPAN: Honshu, Kii, Hasimoto, 18.vi.1920 (Issiki) (slide no. 8415, Clarke). (BMNH)."
303,303,"Lectotype ♂, RUSSIAN FEDERATION: E Siberia, Khabarovskiy Kray, Kazakevicha ('Kasakewitsch') (unspecified) (slide no. 633c, Sattler), designated by Popescu-Gorj 1992: 161. (MINGA, Bucharest)."
306,306,"Holotype ♂ [abdomen missing], MOROCCO: Ifrane, vii.1953 (Buckwell). (MNHN, Paris)."
308,308,"Holotype ?, IRAQ: Baghdad, ex Pyrus malus, em. 6.v.1956 (Wiltshire). (LN, Karlsruhe ?)."
310,310,"Holotype ♂, CUBA: ex Meibomia (unspecified). (USNM, no. 9454 [8454 in Brown & al. 2004: 89])."
313,313,"Lectotype ♂, GUYANA ('BRITISH GUIANA'): Malali ('Mallali'), iii.1913 (Parish) (slide no. 8297, Clarke), designated by Clarke 1969a: 234, pl. 116, figs 4-4b. (BMNH)."
315,315,"Holotype ♂, CANADA: Quebec (Belanger). (USNM, no. 9792)."
317,317,"Lectotype ♂, GUYANA ('BRITISH GUIANA'): Malali ('Mallali'), iii.1913 (Parish) (slide no. 5968, Clarke), designated by Clarke 1969a: 237, pl. 117, figs 1, 1a. (BMNH)."
320,320,"Syntypes, unspecified sex, AUSTRIA: Vienna district (Denis & Schiffermüller). (Lost)."
321,321,"Syntypes, unspecified sex, EUROPE: unspecified. (Not traced)."
326,326,"Lectotype ♀, TURKEY: Bursa ('Brussa') (M[ann]) (slide no. 634b, Sattler), designated by Popescu-Gorj 1992: 167. (MINGA, Bucharest)."
328,328,"Lectotype ♂, GUYANA ('BRITISH GUIANA'): Malali ('Mallali'), iii.1913 (Parish) (slide no. 5969, Clarke), designated by Clarke 1969a: 226, pl. 112, figs 1-1c. (BMNH)."
334,334,"Holotype ♂ [not ♀], BRAZIL: Amazonas, Tefé ('Ega') (Bates). (BMNH)."
335,335,"Holotype ♂, BRAZIL: Amazonas, Obidos, viii.1919 (Parish) (slide no. 5958, Clarke). (BMNH)."
337,337,"Lectotype ♀, [SWEDEN]: (unspecified) (slide, unnumbered), designated by Robinson & Nielsen 1983: 224. (LS, London)."
338,338,"Syntypes, unspecified sex, AUSTRIA: Vienna district (Denis & Schiffermüller). (Lost)."
339,339,"Lectotype, unspecified sex [abdomen missing], DENMARK: unspecified (Lund), designated by Karsholt & Nielsen 1976: 247. (ZMUC, Copenhagen)."
341,341,"Syntypes, unspecified sex, BRITISH ISLES: England, London area, vi-vii.; Hampshire, New Forest; Devon (Stephens). (BMNH)."
342,342,"Holotype, unspecified sex, FRANCE: Dept. du Nord (Duponchel). (MNHN, Paris ?)."
344,344,"Lectotype ?, RUSSIAN FEDERATION: Sakhalin, Otani, 22.viii.1914 (Adachi & Issiki) (slide no. Glc-18, Kumata), designated by Razowski & Kumata 1985: 22. (EIHU, Sapporo). (Park 1988: 154 on type material) [Inoue 1954: 69 as Anacampsis populella subsp. ]"
345,345,"Syntypes, unspecified sex, NETHERLANDS: unspecified (Bentinck). (Zoölogisch Museum, Amsterdam ?)."
346,346,"Syntypes, 16, unspecified sex, GERMANY: Schleswig-Holstein, Amrum I., around Salix repens, 2.viii.1929, 6.vii.1930, 22.vii.1934 (Heydemann). (ZMU, Kiel)."
350,350,"Holotype ♀ [abdomen missing], GUYANA ('BRITISH GUIANA'): Malali ('Mallali'), iii.1913 (Parish). (BMNH)."
356,356,"Syntypes, unspecified sex, USA: [Pennsylvania, Easton], ex Rhus typhina, iv-v., em. mid-vi. (Clemens). (ANS, Philadelphia; BMNH)."
360,360,"Lectotype ♂, GUYANA ('BRITISH GUIANA'): Malali ('Mallali'), iii.1913 (Parish) (slide no. 5970, Clarke), designated by Clarke 1969a: 238, pl. 118, figs 4-4b. (BMNH)."
361,361,"Holotype ♂, BRAZIL: Pará, Belém (‘Pará'), vi.1919 (Parish) (slide no. 5979, Clarke). (BMNH)."
363,363,"Syntypes, unspecified sex, AUSTRIA: mountains nr Vienna, ex Prunus spinosa, em. late vi-late viii. (Fischer von Röslerstamm). (Not traced)."
365,365,"Syntypes, unspecified sex, GERMANY: Hessen, Frankfurt/Main; Hessen, Regensburg (unspecified). (Not traced)."
366,366,"Syntypes, unspecified ♂, ♀, SPAIN: Granada, Chiclana de la Frontera, ex Halimium lepidotum, (Staudinger). (ZMHU, Berlin)."
369,369,"Holotype ♂ [not ♀], RUSSIAN FEDERATION: Irkutskaya Oblast, Irkutsk, [no date] (Christoph). (ZIAN, St Petersburg)."
370,370,"Holotype ♂, JAPAN: Hokkaido, Hakodate, 9.viii.1899 (Fletcher) (slide no. 8427, Clarke). (BMNH)."
372,372,"Lectotype ♀, LATVIA: Vidzeme, Koknese area, 'Rambdau', ex Salix ('Wollweiden'), vi., em. vii. (Lienig) (slide no. 7139), to be designated. (BMNH)."
373,373,"Syntypes, unspecified sex, BRITISH ISLES: England, Cheshire, New Brighton, vii. (Gregson); unspecified (Edleston). (BMNH?)."
375,375,"Holotype ♀, USA: Kentucky (Chambers). (ANS, Philadelphia)."
377,377,"Lectotype ♀, POLAND: Wroc?aw, Las Osobowicki ('Breslau, Oswitzer Wald'), 21.vii.1886 (Wocke) (preparation no. 14835, in glycerine), designated by Karsholt 1995: 150. (ZIAN, St Petersburg)."
378,378,"Syntypes, unspecified sex, GERMANY: Baden-Württemberg, Speier; Talhaus ('Thalhaus'); Karlsruhe, ex Quercus, until mid-vi., em late vi-vii. (Meess; Disqué). (LN, Karlsruhe ?; ZSM, Munich ?)."
379,379,"Syntypes, unspecified sex, FRANCE: Landes, Saugnac (Lafaury); Hérault, ex Quercus toza, Q. robur, v-vi., em. vi-vii.1904, 1906 (Chrétien); Spain, Segovia, La Granja de San Ildefonso, ex Q. toza, 1902 (Chrétien). (MNHN, Paris)."
380,380,"Lectotype ♂, FRANCE: Landes, Saugnacq-et-Muret, ex Quercus, em. 2.vii.1901 (unspecified), designated by Popescu-Gorj 1992: 174. (MINGA, Bucharest)."
384,384,"Holotype ♂, MEXICO: Guerrero, Amula, 6000 ft, viii.18?? (Smith) (slide no. 9301). (BMNH)."
386,386,"Syntypes, 3, unspecified sex, FRANCE: Alpes du Dauphin, ex Trifolium repens, vii., em. viii. (Constant). (Not traced)."
388,388,"Lectotype ♂, NORTH AMERICA: unspecified (Coquillet) (slide no. 9297), to be designated. (BMNH)."
391,391,"Syntypes, 9 ♂, ♀, TROPICAL AMERICA: unspecified (Sommer). (ZMHU, Berlin)."
393,393,"Holotype ♀, TROPICAL AMERICA: unspecified (Sommer) (slide no. 534c, Sattler). (ZMHU, Berlin)."
395,395,"Type species: Epiphthora crystallista Meyrick, 1911, Ann. Transv. Mus. 2: 229, by original designation."
397,397,"Lectotype ♂, SOUTH AFRICA: Gauteng ('Transvaal'), Pretoria, 6.ix.1906 (Janse), designated by Janse 1951: 234, pl. 105, fig. 3 (‘type'). (TM, Pretoria)."
398,398,"Type species: Tinea spartiella Schrank, 1802, Fauna boica 2(2): 104, by subsequent designation by Meyrick, 1925, Genera Insect. 184: 153. ANARS. ANACAMPSINAE"
399,399,"Type species: Anarsia lineatella Zeller, 1839, Isis, Leipzig 1839: 190, by original designation."
402,402,"Holotype ♂, INDIA: Bihar, Pusa, 16.vi.1913 (Fletcher) (slide no. 8463, Clarke). (BMNH)."
405,405,"Holotype ? [abdomen missing], THE GAMBIA: Banjul ('Bathurst'), 188? (Carter) (Walsingham, no. 294). (BMNH)."
421,421,"Holotype ♂, IRAN: Baluchestan, Iranshar, 800 m, 11-18.iii.1954 (Richter). (LN, Karlsruhe)."
423,423,"Holotype ♀, SPAIN: Biscay, Bilbao (Seebold). (MNCN, Madrid)."
424,424,"Holotype ♂, FRANCE: Haute Provence, La Palud sur Verdon, La Maline, Bergerie de Guègues, 27.vi.1976 (Réal) (slide Holotype. no. 2560, Réal). (MCL, Lyon) A junior subjective synonym of Nothris bilbainella Rössler, 1877 (Vives 2014: 163 (Anarsia))."
425,425,"Holotype ♀, FRANCE: Aude, Bize, 25.vi.1910 (Lucas) (slide no. 2640, Réal). (MNHN, Paris)."
426,426,"Holotype ♀, FRANCE: Alpes-Maritimes, Belvédère (Lhomme). (MCL, Lyon)."
430,430,"Holotype ♂, CHINA: Shaanxi, Zhouzhi, 1750 m, 20.vii.1987 (Li) (slide no. L95238). (ZISU, Xi'an)."
432,432,"Holotype ♂, JAPAN: Honshu, Gifu, Nagamo, vii.1926 (Issiki) (slide no. 8495, Clarke). (BMNH)."
439,439,"Type Specimens Microlepid. Br. Mus. nat. Hist. descr. E. Meyrick 1: 18, 19."
441,441,"Holotype ♀ [not ♂], AUSTRALIA: Queensland, Brisbane, 22.xii.1910 (Turner). (ANIC, Canberra)."
449,449,"Lectotype ♀, AUSTRALIA: Qeensland, Brisbane, 29.xii.1916 (Turner), to be designated. (ANIC, Canberra)."
457,457,"Holotype ♀, NEW ZEALAND: North Island, Auckland, Mataitai School, 15.iv.1931 (Clarke). (AMNZ, Auckland)."
466,466,"Holotype ♂ [not ♀], MOZAMBIQUE ('BRITISH SOUTH-EAST AFRICA'): Bela Vista, xi.1916 (Swierstra). (TM, Pretoria)."
474,474,"Syntypes, 6 ♂, ♀, SOUTH AFRICA: Gauteng, Donkerhoek; Mpumalanga, Waterval Onder, Barberton, x-xii. (Janse). (TM, Pretoria)."
496,496,"Syntypes, unspecified sex, GERMANY: Bayern, Augsburg (Hübner). (Not traced)."
497,497,"Syntypes, 3 ?, ?, USA: [Pennsylvania, Easton], ex Prunus, 16.vi. (Clemens). (ANS, Philadelphia)."
498,498,"Holotype ?, AFGHANISTAN: Herat, 5.v.1956 (Amsel). (LN, Karlsruhe)."
499,499,"Holotype ?, TURKEY ('SYRIA SEPT.'): Cappadocia, Kahramanmara? ('Taurus, Marasch'), vi.1929 (Osthelder). (ZSM, Munich)."
